"Characteristic","unique(paramUse$ENTITY_ABBR)","CRITERION_VALUE","UNIT_NAME","CRITERIATYPEAQUAHUMHLTH","CRITERIATYPEFRESHSALTWATER","CRITERIATYPE_ACUTECHRONIC","USE_CLASS_NAME_LOCATION_ETC","ATTAINS_USE_NAME"
"arsenic","CA2","2","mg/l",NA,NA,NA,"AGRICULTURAL SUPPLY",NA
"arsenic","CA2","0.05","mg/l","H",NA,NA,"MUNICIPAL SUPPLY",NA
"arsenic","CA2","150","µg/l",NA,"F","C","SURFACE WATER WITH SALINITY IS LESS THAN 1 PPT",NA
"arsenic","CA2","340","µg/l",NA,"F","A","SURFACE WATER WITH SALINITY IS LESS THAN 1 PPT",NA
"arsenic","CA2","36","µg/l",NA,"S","C","SURFACE WATER WITH SALINITY IS GREATER THAN 10 PPT",NA
"arsenic","CA2","69","µg/l",NA,"S","A","SURFACE WATER WITH SALINITY IS GREATER THAN 10 PPT",NA
"arsenic","CA3","0.1","mg/l","H",NA,NA,"IRRIGATION SUPPLY (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)",NA
"arsenic","CA3","0.2","mg/l","H",NA,NA,"LIVESTOCK WATERING (INLAND SURFACE WATERS, ENCLOSED BAYS, AND ESTUARIES)",NA
"arsenic","CA4","0.05","mg/l","H",NA,NA,"MUNICIPAL AND DOMESTIC WATER SUPPLY",NA
"arsenic","CA5","0.01","mg/l","H",NA,NA,"SACRAMENTO RIVER FROM KESWICK DAM TO THE I STREET
BRIDGE AT CITY OF SACRAMENTO (13, 30); AMERICAN RIVER
FROM FOLSOM DAM TO THE SACRAMENTO RIVER (51); FOLSOM
LAKE (50); AND THE SACRAMENTO-SAN JOAQUIN DELTA.",NA
"arsenic","CA6","See equation","mg/l","H",NA,NA,"SUSANVILLE HYDROLOGIC UNIT - HONEY LAKE",NA
"arsenic","CA7","0.05","mg/l","H",NA,NA,"MUNICIPAL AND DOMESTIC SUPPLY",NA
"arsenic","CA8",NA,NA,NA,NA,NA,NA,NA
"arsenic","CA9",NA,NA,NA,NA,NA,NA,NA
"arsenic","CDA","340","µg/l","A",NA,"A","AQUATIC LIFE USE",NA
"arsenic","CHE","360.0","µg/l","A",NA,"A","SURFACE WATERS",NA
"arsenic","CHE","190.0","µg/l","A",NA,"C","SURFACE WATERS",NA
"arsenic","CHE","0.018","µg/l","H",NA,NA,"CLASS AA AND A SURFACE WATERS",NA
"arsenic","CHE","0.14","µg/l","H",NA,NA,"CLASS B SURFACE WATERS",NA
"arsenic","CNMI","5","µg/l","H",NA,NA,"SURFACE WATERS",NA
"arsenic","CO","150","µg/l","A",NA,"C","ALL SURFACE WATERS",NA
"arsenic","CO","340","µg/l","A",NA,"A","ALL SURFACE WATERS",NA
"arsenic","CO","100","µg/l",NA,NA,"C","AGRICULTURE","AGRICULTURE"
"arsenic","CO","0.02-10","µg/l","H",NA,"C","DOMESTIC WATER SUPPLY","WATER SUPPLY"
"arsenic","CO","7.6","µg/l","H",NA,"C","ALL SURFACE WATERS",NA
"arsenic","CO","0.02","µg/l","H",NA,"C","ALL SURFACE WATERS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"ARKANSAS RIVER BASIN SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"UPPER COLORADO AND NORTH PLATTE RIVER BASIN SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"SAN JUAN AND DOLORES BASINS SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"GUNNISON AND LOWER DOLORES RIVER BASINS SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"RIO GRANDE BASIN SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"LOWER COLORADO RIVER BASIN SITE-SPECIFIC STANDARDS",NA
"arsenic","CO","0.02-340","µg/l",NA,NA,NA,"SOUTH PLATTE, LARAMIE, REPUBLICAN AND SMOKY HILL BASINS SITE-SPECIFIC STANDARDS",NA
"arsenic","COL",NA,NA,NA,NA,NA,NA,NA
"arsenic","CT","150","µg/l","A","F","C","CLASS AA, A & B",NA
"arsenic","CT","340","µg/l","A","F","A","CLASS AA, A & B",NA
"arsenic","CT","36","µg/l","A","S","C","CLASS SA & SB",NA
"arsenic","CT","69","µg/l","A","S","A","CLASS SA & SB",NA
"arsenic","CT","0.021","µg/l","H",NA,NA,"CLASS B, SA & SB WATERS",NA
"arsenic","CT","0.011","µg/l","H",NA,NA,"CLASS AA & A WATERS",NA
"arsenic","CTR","150","µg/l","A","F","C","AQUATIC LIFE CRITERIA",NA
"arsenic","CTR","36","µg/l","A","S","C","AQUATIC LIFE CRITERIA",NA
"arsenic","CTR","340","µg/l","A","F","A","AQUATIC LIFE CRITERIA",NA
"arsenic","CTR","69","µg/l","A","S","A","AQUATIC LIFE CRITERIA",NA
"arsenic","DC","150","µg/l","A",NA,"C","CLASS C WATERS",NA
"arsenic","DC","340","µg/l","A",NA,"A","CLASS C WATERS",NA
"arsenic","DC","0.14","µg/l","H",NA,NA,"CLASS D WATERS",NA
"arsenic","DE","340","µg/l","A","F","A","AQUATIC LIFE PROTECTION",NA
"arsenic","DE","10","µg/l","H",NA,NA,"PROTECTION OF HUMAN HEALTH",NA
"arsenic","DE","36","µg/l","A","S","C","AQUATIC LIFE PROTECTION",NA
"arsenic","DE","69","µg/l","A","S","A","AQUATIC LIFE PROTECTION",NA
"arsenic","DE","150","µg/l","A","F","C","AQUATIC LIFE PROTECTION",NA
"arsenic","DE","36","µg/l","A","S","C","DELAWARE RIVER ESTUARY AND BAY",NA
"arsenic","DE","69","µg/l","A","S","A","DELAWARE RIVER ESTUARY AND BAY",NA
"arsenic","DE","150","µg/l","A","F","C","DELAWARE RIVER ESTUARY AND BAY",NA
"arsenic","DE","340","µg/l","A","F","A","DELAWARE RIVER ESTUARY AND BAY",NA
"arsenic","DE","10","µg/l","H","F",NA,"DELAWARE RIVER ESTUARY, ZONES 2 AND 3",NA
"arsenic","EBCI","340.0","µg/l","A",NA,"A","SURFACE WATER",NA
"arsenic","EBCI","150.0","µg/l","A",NA,"C","SURFACE WATER",NA
"arsenic","EBCI","0.018","µg/l","H",NA,NA,"SURFACE WATER",NA
"arsenic","EBCI","0.14","µg/l","H",NA,NA,"SURFACE WATER",NA
"arsenic","FDL","148","µg/l","A",NA,"C","A, B, C1, D1, AND D2 DESIGNATED USE WATERS",NA
"arsenic","FDL","340","µg/l","A",NA,NA,"A, B, C1, D1, AND D2 DESIGNATED USE WATERS",NA
"arsenic","FDL","680","µg/l","A",NA,"A","A, B, C1, D1, AND D2 DESIGNATED USE WATERS",NA
"arsenic","FDL","2","µg/l","H",NA,"C","A, B, C1, D1, AND D2 DESIGNATED USE WATERS",NA
"arsenic","FDL","2","µg/l",NA,NA,"C","A, B, C1, D1, AND D2 DESIGNATED USE WATERS",NA
"arsenic","FDL","148","µg/l","A",NA,"C","A, B, C2, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","340","µg/l","A",NA,NA,"A, B, C2, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","680","µg/l","A",NA,"A","A, B, C2, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","2","µg/l","H",NA,"C","A, B, C2, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","2","µg/l",NA,NA,"C","A, B, C2, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","148","µg/l","A",NA,"C","B, C2, C3, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","340","µg/l","A",NA,NA,"B, C2, C3, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","680","µg/l","A",NA,"A","B, C2, C3, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","53","µg/l","H",NA,"C","B, C2, C3, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FDL","53","µg/l",NA,NA,"C","B, C2, C3, D1, D2, AND I DESIGNATED USE WATERS",NA
"arsenic","FL","36","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH PROPAGATION OR HARVESTING"
"arsenic","FL","36","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH PROPAGATION"
"arsenic","FL","36","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH HARVESTING"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH PROPAGATION OR HARVESTING"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH PROPAGATION"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS II: SHELLFISH PROPAGATION OR HARVESTING","SHELLFISH HARVESTING"
"arsenic","FL","50","µg/l",NA,"F",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","RECREATION"
"arsenic","FL","50","µg/l",NA,"F",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","FISH CONSUMPTION"
"arsenic","FL","36","µg/l",NA,"S",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","RECREATION"
"arsenic","FL","36","µg/l",NA,"S",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","FISH CONSUMPTION"
"arsenic","FL","50","µg/l",NA,"S",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","RECREATION"
"arsenic","FL","50","µg/l",NA,"S",NA,"CLASS III AND CLASS III-LIMITED, FISH CONSUMPTION, RECREATION, PROPAGATION AND MAINTENANCE OF A HEALTHY, WELL-BALANCED POPULATION OF FISH AND WILDLIFE","FISH CONSUMPTION"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS IV: AGRICULTURAL WATER SUPPLIES","AGRICULTURAL WATER SUPPLIES"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS V: NAVIGATION, UTILITY AND INDUSTRIAL USE","UTILITY"
"arsenic","FL","50","µg/l",NA,NA,NA,"CLASS V: NAVIGATION, UTILITY AND INDUSTRIAL USE","NAVIGATION"
"arsenic","FL","10","µg/l",NA,NA,NA,"CLASS I: POTABLE WATER SUPPLIES","POTABLE WATER SUPPLIES"
"arsenic","GA","50","µg/l",NA,NA,NA,"ALL OTHER CLASSIFICATIONS (EXCEPT DRINKING WATER SUPPLIES)","DRINKING WATER"
"arsenic","GA","50","µg/l",NA,NA,NA,"ALL OTHER CLASSIFICATIONS (EXCEPT DRINKING WATER SUPPLIES)","DRINKING WATER SUPPLIES"
"arsenic","GA","10","µg/l",NA,"F",NA,"DRINKING WATER SUPPLIES","DRINKING WATER"
"arsenic","GA","10","µg/l",NA,"F",NA,"DRINKING WATER SUPPLIES","DRINKING WATER SUPPLIES"
"arsenic","GA","36","µg/l",NA,"S","C","ALL WATERS",NA
"arsenic","GA","69","µg/l",NA,"S","A","ALL WATERS",NA
"arsenic","GA","150","µg/l",NA,"F","C","ALL WATERS",NA
"arsenic","GA","340","µg/l",NA,"F","A","ALL WATERS",NA
"arsenic","GPCHMN","5.64E-03","µg/l","H",NA,NA,"SURFACE WATERS",NA
"arsenic","GPCHMN","147.9","µg/l","A",NA,"C","SURFACE WATERS",NA
"arsenic","GU","340","µg/l","A","F","A","CATEGORY S-1, S-2, AND S-3 WATERS",NA
"arsenic","GU","150","µg/l","A","F","C","CATEGORY S-1, S-2, AND S-3 WATERS",NA
"arsenic","GU","69","µg/l","A","S","A","CATEGORY M-1, M-2, AND M-3 WATERS",NA
"arsenic","GU","36","µg/l","A","S","C","CATEGORY M-1, M-2, AND M-3 WATERS",NA
"arsenic","GU","5","µg/l","H","F",NA,"CATEGORY S-1 AND S-2 WATERS",NA
"arsenic","HI","36","µg/l","A","S","C","ALL WATERS",NA
"arsenic","HI","69","µg/l","A","S","A","ALL WATERS",NA
"arsenic","HI","190","µg/l","A","F","C","ALL WATERS",NA
"arsenic","HI","360","µg/l","A","F","A","ALL WATERS",NA
"arsenic","HI","0.14","µg/l","H",NA,NA,"ALL WATERS: FISH CONSUMPTION","FISH CONSUMPTION"
"arsenic","HOOP","340","µg/l","A","F","A","SURFACE WATER USED FOR DOMESTIC OR MUNICIPAL SUPPLY",NA
"arsenic","HOOP","150","µg/l","A","F","C","SURFACE WATER USED FOR DOMESTIC OR MUNICIPAL SUPPLY",NA
"arsenic","HPI","10","µg/l",NA,NA,NA,"DOMESTIC WATER SOURCE (DWS) + FISH CONSUMPTION (FC), GROUNDWATER RECHARGE (GWR), AND PRIMARY CONTACT CEREMONIAL (PCC)",NA
"arsenic","HPI","10","µg/l",NA,NA,NA,"FISH CONSUMPTION",NA
"arsenic","HPI","30","µg/l",NA,NA,NA,"FULL BODY CONTACT (FBC)",NA
"arsenic","HPI","280","µg/l",NA,NA,NA,"PARTIAL BODY CONTACT (PBC)",NA
"arsenic","HPI","2000","µg/l",NA,NA,NA,"AGRICULTURAL IRRIGATION (AGI)",NA
"arsenic","HPI","200","µg/l",NA,NA,NA,"AGRICULTURAL LIVESTOCK WATERING (AGL)",NA
"arsenic","HPI","340","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (WARMWATER HABITAT)",NA
"arsenic","HPI","150","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (WARMWATER HABITAT)",NA
"arsenic","HPI","440","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EPHEMERAL)",NA
"arsenic","HPI","230","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EPHEMERAL)",NA
"arsenic","HUAL","10","µg/l","H",NA,NA,"DOMESTIC WATER SOURCE",NA
"arsenic","HUAL","10","µg/l","H",NA,NA,"FULL BODY CONTACT",NA
"arsenic","HUAL","10","µg/l","H",NA,NA,"PARTIAL BODY CONTACT",NA
"arsenic","HUAL","2000","µg/l",NA,NA,NA,"AGRICULTURAL IRRIGATION",NA
"arsenic","HUAL","200","µg/l",NA,NA,NA,"AGRICULTURAL USE/LIVESTOCK WATERING",NA
"arsenic","HUAL","360","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (COLDWATER FISHERY)",NA
"arsenic","HUAL","190","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (COLDWATER FISHERY)",NA
"arsenic","HUAL","360","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (WARMWATER FISHERY)",NA
"arsenic","HUAL","190","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (WARMWATER FISHERY)",NA
"arsenic","HUAL","360","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)",NA
"arsenic","HUAL","190","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)",NA
"arsenic","HUAL","440","µg/l","A",NA,"A","AQUATIC AND WILDLIFE (EPHERMERAL)",NA
"arsenic","HUAL","230","µg/l","A",NA,"C","AQUATIC AND WILDLIFE (EPHERMERAL)",NA
"arsenic","IA","200","µg/l","A","F","C","CLASS B(CW1) - COLD WATER - TYPE 1",NA
"arsenic","IA","360","µg/l","A","F","A","CLASS B(CW1) - COLD WATER - TYPE 1",NA
"arsenic","IA","0.18","µg/l","H",NA,NA,"FISH AND WATER CONSUMPTION","FISH CONSUMPTION"
"arsenic","IA","50","µg/l","H",NA,NA,"FISH CONSUMPTION","FISH CONSUMPTION"
"arsenic","IA","200","µg/l","A","F","C","CLASS B(LW) - LAKES AND WETLANDS",NA
"arsenic","IA","360","µg/l","A","F","A","CLASS B(LW) - LAKES AND WETLANDS",NA
"arsenic","IA","150","µg/l","A","F","C","CLASS B(WW-1) - WARM WATER AQUATIC LIFE - TYPE 1","AQUATIC LIFE"
"arsenic","IA","340","µg/l","A","F","A","CLASS B(WW-1) - WARM WATER AQUATIC LIFE - TYPE 1","AQUATIC LIFE"
"arsenic","IA","150","µg/l","A","F","C","CLASS B(WW-2) - WARM WATER AQUATIC LIFE - TYPE 2","AQUATIC LIFE"
"arsenic","IA","340","µg/l","A","F","A","CLASS B(WW-2) - WARM WATER AQUATIC LIFE - TYPE 2","AQUATIC LIFE"
"arsenic","IA","150","µg/l","A","F","C","CLASS B(WW-3) - WARM WATER AQUATIC LIFE - TYPE 3","AQUATIC LIFE"
"arsenic","IA","340","µg/l","A","F","A","CLASS B(WW-3) - WARM WATER AQUATIC LIFE - TYPE 3","AQUATIC LIFE"
"arsenic","ID","150","µg/l","A",NA,"C","WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"arsenic","ID","340","µg/l","A",NA,"A","WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"arsenic","ID","10","µg/l","H",NA,NA,"WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"arsenic","ID","4.3","µg/l","H",NA,NA,"WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"arsenic","ID","8.0","µg/kg","H",NA,NA,"WATERS DESIGNATED FOR AQUATIC LIFE, RECREATION, OR DOMESTIC WATER SUPPLY","DOMESTIC WATER SUPPLY"
"arsenic","IL","150","µg/l","A",NA,"C","CHICAGO AREA WATERWAY SYSTEM AND LOWER DES PLAINES RIVER",NA
"arsenic","IL","340","µg/l","A",NA,"A","LAKE MICHIGAN BASIN",NA
"arsenic","IL","148","µg/l","A",NA,"C","LAKE MICHIGAN BASIN",NA
"arsenic","IL","50.0","µg/l",NA,NA,NA,"LAKE MICHIGAN BASIN",NA
"arsenic","IL","0.05","mg/l",NA,NA,NA,"PUBLIC AND FOOD PROCESSING WATER SUPPLY","PUBLIC AND FOOD PROCESSING WATER SUPPLY"
"arsenic","IL","0.05","mg/l",NA,NA,NA,"PUBLIC AND FOOD PROCESSING WATER SUPPLY","PUBLIC WATER SUPPLY"
"arsenic","IL","340","µg/l","A",NA,"A","CHICAGO AREA WATERWAY SYSTEM AND LOWER DES PLAINES RIVER",NA
"arsenic","IL","1","mg/l",NA,NA,NA,"CHICAGO AREA WATERWAY SYSTEM AND LOWER DES PLAINES RIVER",NA
"arsenic","IN","See equation","µg/l","A",NA,"A","OUTSIDE OF MIXING ZONE",NA
"arsenic","IN","See equation","µg/l","A",NA,"C","OUTSIDE OF MIXING ZONE",NA
"arsenic","IN","See equation","µg/l","A",NA,"A","AQUATIC LIFE PROTECTION","AQUATIC LIFE"
