"ENTITY_ABBR.x","CST_USE_NAME","ENTITY_ABBR.y","ATTAINS_USE_NAME","USE_NAME_UNLISTED"
NA,NA,"MO","PROTECTION OF AQUATIC LIFE (LIMITED WARM-WATER FISHERY)","^(?=.*PROTECTION)(?=.*OF)(?=.*AQUATIC)(?=.*LIFE)(?=.*(LIMITED)(?=.*WARM-WATER)(?=.*FISHERY)).*$"
"AR","SECONDARY CONTACT WATERS","AR","SECONDARY CONTACT","^(?=.*SECONDARY)(?=.*CONTACT).*$"
NA,NA,"FL","FISH AND WILDLIFE PROPAGATION - FRESHWATER","^(?=.*FISH)(?=.*AND)(?=.*WILDLIFE)(?=.*PROPAGATION)(?=.*-)(?=.*FRESHWATER).*$"
NA,NA,"MO","HUMAN HEALTH PROTECTION (FISH CONSUMPTION AND SECONDARY CONTACT RECREATION)","^(?=.*HUMAN)(?=.*HEALTH)(?=.*PROTECTION)(?=.*(FISH)(?=.*CONSUMPTION)(?=.*AND)(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION)).*$"
NA,NA,"OK","HABITAT LIMITED AQUATIC COMMUNITY","^(?=.*HABITAT)(?=.*LIMITED)(?=.*AQUATIC)(?=.*COMMUNITY).*$"
NA,NA,"BB","DOMESTIC WATER SUPPLY WATERS","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY)(?=.*WATERS).*$"
"NY","HEALTH (FISH CONSUMPTION): CLASSES A, A-S, AA, AA-S, B, C, D","NY","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"NY","HEALTH (FISH CONSUMPTION): CLASSES SA, SB, SC, I, SD","NY","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"NY","FISH CONSUMPTION: CLASSES SA, SB, SC, I, SD","NY","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"NY","HEALTH (FISH CONSUMPTION): CLASSES SA, SB, SC, SD","NY","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"MS","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"ME","OVERALL USE SUPPORT","^(?=.*OVERALL)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"CA","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"MN","AQUATIC LIFE: COLD WATER FISHERIES","^(?=.*AQUATIC)(?=.*LIFE:)(?=.*COLD)(?=.*WATER)(?=.*FISHERIES).*$"
"WI","PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","WI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"WI","PUBLIC WATER SUPPLY - WARM WATER SPORT FISH COMMUNITIES","WI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"WI","NON-PUBLIC WATER SUPPLY - COLD WATER COMMUNITIES","WI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"WI","NON-PUBLIC WATER SUPPLY - LIMITED AQUATIC LIFE","WI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
"WI","NON-PUBLIC WATER SUPPLY - WARM WATER FORAGE, LIMITED FORAGE, AND WARM WATER SPORT FISH COMMUNITIES","WI","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OK","PRIMARY BODY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*BODY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"CO","NOT APPLICABLE","^(?=.*NOT)(?=.*APPLICABLE).*$"
"OK","FISH AND WILDLIFE PROPAGATION","OK","FISH AND WILDLIFE PROPAGATION","^(?=.*FISH)(?=.*AND)(?=.*WILDLIFE)(?=.*PROPAGATION).*$"
NA,NA,"UT","AQUATIC WILDLIFE (WATERFOWL, SHOREBIRDS, AND OTHER)","^(?=.*AQUATIC)(?=.*WILDLIFE)(?=.*(WATERFOWL,)(?=.*SHOREBIRDS,)(?=.*AND)(?=.*OTHER)).*$"
NA,NA,"ME","DRINKING WATER SUPPLY AFTER DISINFECTION","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY)(?=.*AFTER)(?=.*DISINFECTION).*$"
NA,NA,"AS","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"CA","COMMERCIAL AND SPORT FISHING","^(?=.*COMMERCIAL)(?=.*AND)(?=.*SPORT)(?=.*FISHING).*$"
NA,NA,"PA","FISHING","^(?=.*FISHING).*$"
NA,NA,"NE","STATE RESOURCE WATERS (CLASS A)","^(?=.*STATE)(?=.*RESOURCE)(?=.*WATERS)(?=.*(CLASS)(?=.*A)).*$"
NA,NA,"OK","WARM WATER AQUATIC COMMUNITY","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*COMMUNITY).*$"
NA,NA,"AA","DOMESTIC WATER SUPPLY WATERS","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY)(?=.*WATERS).*$"
NA,NA,"AZ","A&W - WARM WATER FISHERY","^(?=.*A&W)(?=.*-)(?=.*WARM)(?=.*WATER)(?=.*FISHERY).*$"
NA,NA,"MO","UNCLASSIFIED WITH OTHER PROTECTION","^(?=.*UNCLASSIFIED)(?=.*WITH)(?=.*OTHER)(?=.*PROTECTION).*$"
NA,NA,"WY","COLD WATER GAME FISH","^(?=.*COLD)(?=.*WATER)(?=.*GAME)(?=.*FISH).*$"
"NM","PRIMARY CONTACT","NM","PRIMARY CONTACT","^(?=.*PRIMARY)(?=.*CONTACT).*$"
NA,NA,"MN","PUBLIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"AR","INDUSTRIAL WATER SUPPLY","^(?=.*INDUSTRIAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"WY","SCENIC VALUE","^(?=.*SCENIC)(?=.*VALUE).*$"
NA,NA,"AR","OUTSTANDING RESOURCE WATERS","^(?=.*OUTSTANDING)(?=.*RESOURCE)(?=.*WATERS).*$"
"IA","CLASS A2 - SECONDARY CONTACT RECREATIONAL USE","IA","SECONDARY CONTACT REC.","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*REC.).*$"
NA,NA,"IL","UPPER DRESDEN ISLAND POOL AQUATIC LIFE USE","^(?=.*UPPER)(?=.*DRESDEN)(?=.*ISLAND)(?=.*POOL)(?=.*AQUATIC)(?=.*LIFE)(?=.*USE).*$"
NA,NA,"VT","BOATING, FISHING, AND OTHER RECREATIONAL USES","^(?=.*BOATING,)(?=.*FISHING,)(?=.*AND)(?=.*OTHER)(?=.*RECREATIONAL)(?=.*USES).*$"
NA,NA,"CO","AQUATIC LIFE WARM WATER-CLASS 1","^(?=.*AQUATIC)(?=.*LIFE)(?=.*WARM)(?=.*WATER-CLASS)(?=.*1).*$"
NA,NA,"WV","TROUT WATERS","^(?=.*TROUT)(?=.*WATERS).*$"
"PA","POTABLE WATER SUPPLY","PA","POTABLE WATER SUPPLY","^(?=.*POTABLE)(?=.*WATER)(?=.*SUPPLY).*$"
"PA","WATER CONTACT SPORTS; POTABLE WATER SUPPLY","PA","POTABLE WATER SUPPLY","^(?=.*POTABLE)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"ND","MUNICIPAL AND DOMESTIC","^(?=.*MUNICIPAL)(?=.*AND)(?=.*DOMESTIC).*$"
NA,NA,"VT","THE USE OF WATERS FOR SWIMMING AND OTHER PRIMARY CONTACT RECREATION","^(?=.*THE)(?=.*USE)(?=.*OF)(?=.*WATERS)(?=.*FOR)(?=.*SWIMMING)(?=.*AND)(?=.*OTHER)(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"WA","AQUATIC LIFE - GENERAL","^(?=.*AQUATIC)(?=.*LIFE)(?=.*-)(?=.*GENERAL).*$"
NA,NA,"WA","WATER SUPPLY - DOMESTIC WATER","^(?=.*WATER)(?=.*SUPPLY)(?=.*-)(?=.*DOMESTIC)(?=.*WATER).*$"
NA,NA,"OK","GENERAL","^(?=.*GENERAL).*$"
NA,NA,"OK","PRIMARY BODY CONTACT","^(?=.*PRIMARY)(?=.*BODY)(?=.*CONTACT).*$"
NA,NA,"AZ","PRIMARY CONTACT (RECR)","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"OR","LIVESTOCK WATERING","^(?=.*LIVESTOCK)(?=.*WATERING).*$"
NA,NA,"SC","NATURALLY REPRODUCING TROUT STREAM","^(?=.*NATURALLY)(?=.*REPRODUCING)(?=.*TROUT)(?=.*STREAM).*$"
NA,NA,"MI","RECREATION: WILD AND SCENIC","^(?=.*RECREATION:)(?=.*WILD)(?=.*AND)(?=.*SCENIC).*$"
NA,NA,"ME","NAVIGATION","^(?=.*NAVIGATION).*$"
NA,NA,"AK","FRESH WATER / WATER RECREATION / SECONDARY RECREATION","^(?=.*FRESH)(?=.*WATER)(?=.*/)(?=.*WATER)(?=.*RECREATION)(?=.*/)(?=.*SECONDARY)(?=.*RECREATION).*$"
NA,NA,"NV","FRESHWATER REPLENISHMENT","^(?=.*FRESHWATER)(?=.*REPLENISHMENT).*$"
NA,NA,"NJ","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"OH","RECREATION - PRIMARY CONTACT","^(?=.*RECREATION)(?=.*-)(?=.*PRIMARY)(?=.*CONTACT).*$"
NA,NA,"NC","SECONDARY CONTACT RECREATION","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"LA","PRIMARY CONTACT RECREATION","LA","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"OK","FISH CONSUMPTION (+ OTHER ORGANISMS)","OK","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"OK","FISH CONSUMPTION (+ OTHER ORGANISMS) AND WATER","OK","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"OK","FISH CONSUMPTION (+ OTHER ORGANISMS) AND WATER; FOR TROUT STREAMS","OK","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"OK","RECREATION","^(?=.*RECREATION).*$"
NA,NA,"MO","SWIMMABLE","^(?=.*SWIMMABLE).*$"
NA,NA,"MO","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"OR","PUBLIC DOMESTIC WATER SUPPLY","^(?=.*PUBLIC)(?=.*DOMESTIC)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"NJ","SHELLFISH HARVESTING","^(?=.*SHELLFISH)(?=.*HARVESTING).*$"
"NV","WATERING OF LIVESTOCK","NV","WATERING OF LIVESTOCK","^(?=.*WATERING)(?=.*OF)(?=.*LIVESTOCK).*$"
NA,NA,"AZ","AQUATIC AND WILDLIFE (CHRONIC)","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE)(?=.*(CHRONIC)).*$"
NA,NA,"OH","WATER SUPPLY - INDUSTRIAL","^(?=.*WATER)(?=.*SUPPLY)(?=.*-)(?=.*INDUSTRIAL).*$"
NA,NA,"ME","INDUSTRIAL PROCESS AND COOLING WATER SUPPLY","^(?=.*INDUSTRIAL)(?=.*PROCESS)(?=.*AND)(?=.*COOLING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"CA","GENERAL","^(?=.*GENERAL).*$"
NA,NA,"OK","WARM WATER AQUATIC LIFE","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"IN","EXCEPTIONAL USE WATERS","^(?=.*EXCEPTIONAL)(?=.*USE)(?=.*WATERS).*$"
"AZ","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW)","AZ","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE)(?=.*(EFFLUENT)(?=.*DEPENDENT)(?=.*WATER)).*$"
"AZ","AQUATIC AND WILDLIFE (EFFLUENT-DEPENDENT WATER) (A&WEDW): LAKES/RESERVOIRS","AZ","AQUATIC AND WILDLIFE (EFFLUENT DEPENDENT WATER)","^(?=.*AQUATIC)(?=.*AND)(?=.*WILDLIFE)(?=.*(EFFLUENT)(?=.*DEPENDENT)(?=.*WATER)).*$"
NA,NA,"RI","SHELLFISH CONSUMPTION","^(?=.*SHELLFISH)(?=.*CONSUMPTION).*$"
"NV","IRRIGATION","NV","IRRIGATION","^(?=.*IRRIGATION).*$"
NA,NA,"AK","ACWA -- AT RISK WATER","^(?=.*ACWA)(?=.*--)(?=.*AT)(?=.*RISK)(?=.*WATER).*$"
NA,NA,"SD","OVERALL USE SUPPORT","^(?=.*OVERALL)(?=.*USE)(?=.*SUPPORT).*$"
NA,NA,"AL","SHELLFISHING","^(?=.*SHELLFISHING).*$"
NA,NA,"AK","FRESH WATER / WATER SUPPLY / DRINKING, CULINARY, AND FOOD PROCESSING","^(?=.*FRESH)(?=.*WATER)(?=.*/)(?=.*WATER)(?=.*SUPPLY)(?=.*/)(?=.*DRINKING,)(?=.*CULINARY,)(?=.*AND)(?=.*FOOD)(?=.*PROCESSING).*$"
"CO","RECREATIONAL - CLASS E EXISTING PRIMARY CONTACT","CO","RECREATION","^(?=.*RECREATION).*$"
"CO","RECREATIONAL - CLASS N NOT PRIMARY CONTACT USE","CO","RECREATION","^(?=.*RECREATION).*$"
"CO","RECREATIONAL - CLASS P POTENTIAL PRIMARY CONTACT","CO","RECREATION","^(?=.*RECREATION).*$"
"ACO","PRIMARY CONTACT RECREATION (PCR)","CO","RECREATION","^(?=.*RECREATION).*$"
NA,NA,"TX","INTERMEDIATE AQUATIC LIFE","^(?=.*INTERMEDIATE)(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"MN","LIMITED RESOURCE VALUE WATERS","^(?=.*LIMITED)(?=.*RESOURCE)(?=.*VALUE)(?=.*WATERS).*$"
NA,NA,"MT","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"CA","MIGRATION OF AQUATIC ORGANISMS","^(?=.*MIGRATION)(?=.*OF)(?=.*AQUATIC)(?=.*ORGANISMS).*$"
NA,NA,"FL","FISH AND WILDLIFE PROPAGATION - MARINE","^(?=.*FISH)(?=.*AND)(?=.*WILDLIFE)(?=.*PROPAGATION)(?=.*-)(?=.*MARINE).*$"
NA,NA,"KS","NONCONTACT RECREATION","^(?=.*NONCONTACT)(?=.*RECREATION).*$"
NA,NA,"UT","NONGAME FISH (3C)","^(?=.*NONGAME)(?=.*FISH)(?=.*(3C)).*$"
NA,NA,"MA","OUTSTANDING TRIBAL RESOURCE WATERS","^(?=.*OUTSTANDING)(?=.*TRIBAL)(?=.*RESOURCE)(?=.*WATERS).*$"
NA,NA,"AS","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"NV","RECREATION INVOLVING CONTACT WITH THE WATER","^(?=.*RECREATION)(?=.*INVOLVING)(?=.*CONTACT)(?=.*WITH)(?=.*THE)(?=.*WATER).*$"
NA,NA,"RI","FISH, OTHER AQUATIC LIFE AND WILDLIFE.","^(?=.*FISH,)(?=.*OTHER)(?=.*AQUATIC)(?=.*LIFE)(?=.*AND)(?=.*WILDLIFE.).*$"
NA,NA,"NC","WARM WATER AQUATIC HABITAT","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*HABITAT).*$"
NA,NA,"KY","DRINKING WATER SUPPLY","^(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"AZ","AGRICULTURAL WATER SUPPLY","^(?=.*AGRICULTURAL)(?=.*WATER)(?=.*SUPPLY).*$"
NA,NA,"AK","FRESH WATER; WATER RECREATION; SECONDARY RECREATION","^(?=.*FRESH)(?=.*WATER;)(?=.*WATER)(?=.*RECREATION;)(?=.*SECONDARY)(?=.*RECREATION).*$"
"SD","COLDWATER PERMANENT FISH LIFE PROPAGATION WATERS (USE 2)","SD","COLDWATER PERM FISH","^(?=.*COLDWATER)(?=.*PERM)(?=.*FISH).*$"
"SD","COLDWATER PERMANENT FISH LIFE PROPAGATION WATERS -- BLACK HILLS TROUT MANAGEMENT AREA.","SD","COLDWATER PERM FISH","^(?=.*COLDWATER)(?=.*PERM)(?=.*FISH).*$"
"SD","COLDWATER PERMANENT, COLDWATER MARGINAL, OR WARMWATER PERMANENT FISH LIFE PROPAGATION","SD","COLDWATER PERM FISH","^(?=.*COLDWATER)(?=.*PERM)(?=.*FISH).*$"
NA,NA,"MD","WATER CONTACT SPORTS","^(?=.*WATER)(?=.*CONTACT)(?=.*SPORTS).*$"
NA,NA,"AK","MARINE WATER; WATER RECREATION; SECONDARY RECREATION","^(?=.*MARINE)(?=.*WATER;)(?=.*WATER)(?=.*RECREATION;)(?=.*SECONDARY)(?=.*RECREATION).*$"
"OK","IRRIGATION AGRICULTURE","OK","AGRICULTURE","^(?=.*AGRICULTURE).*$"
"OK","LIVESTOCK AGRICULTURE","OK","AGRICULTURE","^(?=.*AGRICULTURE).*$"
NA,NA,"MN","CLASS 2B WARM WATER AQUATIC CONSUMPTION","^(?=.*CLASS)(?=.*2B)(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*CONSUMPTION).*$"
NA,NA,"IA","PRIMARY BODY CONTACT","^(?=.*PRIMARY)(?=.*BODY)(?=.*CONTACT).*$"
NA,NA,"NM","HIGH QUALITY COLDWATER FISHERY","^(?=.*HIGH)(?=.*QUALITY)(?=.*COLDWATER)(?=.*FISHERY).*$"
NA,NA,"NC","WILDLIFE","^(?=.*WILDLIFE).*$"
NA,NA,"OK","WARM WATER AQUATIC COMM.","^(?=.*WARM)(?=.*WATER)(?=.*AQUATIC)(?=.*COMM.).*$"
NA,NA,"WV","AGRICULTURE AND WILDLIFE","^(?=.*AGRICULTURE)(?=.*AND)(?=.*WILDLIFE).*$"
"AZ","DOMESTIC WATER SOURCE (DWS)","AZ","DOMESTIC WATER SOURCE","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SOURCE).*$"
"AZ","DOMESTIC WATER SOURCE (DWS): LAKES/RESERVOIRS","AZ","DOMESTIC WATER SOURCE","^(?=.*DOMESTIC)(?=.*WATER)(?=.*SOURCE).*$"
"WY","WARM WATER OR NONGAME FISHERIES (CLASSES 1, 2AB, 2B AND 2C)","WY","NON GAME FISH","^(?=.*NON)(?=.*GAME)(?=.*FISH).*$"
"MT","A-CLOSED (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES AFTER SIMPLE DISINFECTION; SWIMMING, RECREATION, GROWTH, AND PROPAGATION OF FISHES AND ASSOCIATED AQUATIC LIFE, ALTHOUGH ACCESS RESTRICTION TO PROTECT PUBLIC HEALTH MAY LIMIT ACTUAL USE OF THESE WATERS FOR THESE USES)","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
"MT","C-3 (BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS. THE QUALITY OF THESE WATERS IS NATURALLY MARGINAL FOR DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AGRICULTURE, AND INDUSTRIAL WATER SUPPLY).","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
"MT","B-1 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
"MT","B-2 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND MARGINAL PROPAGATION OF SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
"MT","B-3 (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES, AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND PROPAGATION OF NON-SALMONID FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
"MT","I (DRINKING, CULINARY, AND FOOD PROCESSING PURPOSES AFTER CONVENTIONAL TREATMENT; BATHING, SWIMMING, AND RECREATION; GROWTH AND  PROPAGATION OF  FISHES AND ASSOCIATED AQUATIC LIFE, WATERFOWL AND FURBEARERS; AND AGRICULTURAL AND INDUSTRIAL WATER SUPPLY)","MT","DRINKING WATER","^(?=.*DRINKING)(?=.*WATER).*$"
NA,NA,"OH","LIMITED RESOURCE WATERS - ACID MINE DRAINAGE","^(?=.*LIMITED)(?=.*RESOURCE)(?=.*WATERS)(?=.*-)(?=.*ACID)(?=.*MINE)(?=.*DRAINAGE).*$"
NA,NA,"VT","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
"KY","SECONDARY CONTACT RECREATION","KY","SECONDARY CONTACT (RECR)","^(?=.*SECONDARY)(?=.*CONTACT)(?=.*(RECR)).*$"
NA,NA,"TX","GENERAL USE","^(?=.*GENERAL)(?=.*USE).*$"
"OK","COOL WATER AQUATIC COMMUNITY/TROUT FISHERIES","OK","COOL WATER AQUATIC COMMUNITY","^(?=.*COOL)(?=.*WATER)(?=.*AQUATIC)(?=.*COMMUNITY).*$"
NA,NA,"NM","WARMWATER FISHERY","^(?=.*WARMWATER)(?=.*FISHERY).*$"
NA,NA,"WI","WILD RICE","^(?=.*WILD)(?=.*RICE).*$"
NA,NA,"WI","LIMITED FORAGE FISHERY","^(?=.*LIMITED)(?=.*FORAGE)(?=.*FISHERY).*$"
"PA","FISH AND AQUATIC LIFE","PA","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"PA","AQUATIC LIFE","PA","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
"PA","FISH AND AQUATIC LIFE; GREAT LAKES","PA","AQUATIC LIFE","^(?=.*AQUATIC)(?=.*LIFE).*$"
NA,NA,"AA","COMMERCE AND INDUSTRY WATERS","^(?=.*COMMERCE)(?=.*AND)(?=.*INDUSTRY)(?=.*WATERS).*$"
"AZ","AGRICULTURAL LIVESTOCK WATERING (AGL)","AZ","LIVESTOCK WATERING","^(?=.*LIVESTOCK)(?=.*WATERING).*$"
NA,NA,"NC","HIGH QUALITY WATERS","^(?=.*HIGH)(?=.*QUALITY)(?=.*WATERS).*$"
NA,NA,"OH","LIMITED RESOURCE WATERS","^(?=.*LIMITED)(?=.*RESOURCE)(?=.*WATERS).*$"
"KS","PRIMARY CONTACT RECREATION-RESTRICTED ACCESS","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"KS","PRIMARY CONTACT RECREATION-SWIMMING BEACH","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"KS","PRIMARY CONTACT RECREATION-CLASS A","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"KS","PRIMARY CONTACT RECREATION-CLASS B","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"KS","PRIMARY CONTACT RECREATION-CLASS C","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
"KS","PRIMARY CONTACT RECREATION-PUBLIC ACCESS","KS","PRIMARY CONTACT RECREATION","^(?=.*PRIMARY)(?=.*CONTACT)(?=.*RECREATION).*$"
NA,NA,"CO","AQUATIC LIFE SUPPORT","^(?=.*AQUATIC)(?=.*LIFE)(?=.*SUPPORT).*$"
NA,NA,"CT","POTENTIAL DRINKING WATER SUPPLIES","^(?=.*POTENTIAL)(?=.*DRINKING)(?=.*WATER)(?=.*SUPPLIES).*$"
NA,NA,"BB","COMMERCE AND INDUSTRY WATERS","^(?=.*COMMERCE)(?=.*AND)(?=.*INDUSTRY)(?=.*WATERS).*$"
NA,NA,"WI","COLD III","^(?=.*COLD)(?=.*III).*$"
NA,NA,"WV","FISH CONSUMPTION","^(?=.*FISH)(?=.*CONSUMPTION).*$"
NA,NA,"LA","LIMITED AQUATIC LIFE AND WILDLIFE USE","^(?=.*LIMITED)(?=.*AQUATIC)(?=.*LIFE)(?=.*AND)(?=.*WILDLIFE)(?=.*USE).*$"
